epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,299.113,0.6348,0.36767,0.88479,0.89843,0.93111,0.95453,0.76778,0.82786,0.51543,0.9656,0.00131468,0.00131468,0.00131468
129,301.351,0.61413,0.35817,0.86545,0.88599,0.93684,0.9541,0.75674,0.84615,0.52185,0.97367,0.00130552,0.00130552,0.00130552
130,303.972,0.60607,0.36804,0.87231,0.88599,0.93684,0.9541,0.75674,0.84615,0.52185,0.97367,0.00129633,0.00129633,0.00129633
131,306.154,0.62538,0.37025,0.8743,0.91425,0.89783,0.94914,0.74328,0.84891,0.52263,0.9677,0.00128712,0.00128712,0.00128712
132,308.696,0.59935,0.36061,0.87285,0.91425,0.89783,0.94914,0.74328,0.84891,0.52263,0.9677,0.00127789,0.00127789,0.00127789
133,310.936,0.63181,0.36962,0.87802,0.93708,0.89474,0.9485,0.75899,0.82488,0.53013,0.95824,0.00126864,0.00126864,0.00126864
134,313.502,0.60326,0.35845,0.86365,0.91755,0.91579,0.94874,0.77014,0.82162,0.51502,0.95959,0.00125938,0.00125938,0.00125938
135,315.658,0.58802,0.36702,0.87157,0.91755,0.91579,0.94874,0.77014,0.82162,0.51502,0.95959,0.00125009,0.00125009,0.00125009
136,317.817,0.60253,0.36138,0.87206,0.9466,0.93299,0.9519,0.76436,0.82142,0.504,0.9709,0.00124079,0.00124079,0.00124079
137,320.361,0.58315,0.35881,0.86363,0.9466,0.93299,0.9519,0.76436,0.82142,0.504,0.9709,0.00123147,0.00123147,0.00123147
138,322.564,0.5437,0.34034,0.85948,0.92928,0.93684,0.95159,0.76425,0.82599,0.50185,0.97001,0.00122214,0.00122214,0.00122214
139,325.164,0.56141,0.33486,0.8602,0.946,0.92198,0.94962,0.76421,0.79067,0.519,0.95255,0.0012128,0.0012128,0.0012128
140,327.292,0.59426,0.35298,0.88285,0.946,0.92198,0.94962,0.76421,0.79067,0.519,0.95255,0.00120344,0.00120344,0.00120344
141,329.471,0.62587,0.35236,0.87834,0.94285,0.92632,0.95347,0.76268,0.80897,0.51462,0.95256,0.00119408,0.00119408,0.00119408
142,332.034,0.55341,0.33974,0.87012,0.94285,0.92632,0.95347,0.76268,0.80897,0.51462,0.95256,0.0011847,0.0011847,0.0011847
143,334.249,0.5848,0.35444,0.8599,0.93617,0.92626,0.95516,0.76048,0.854,0.50865,0.96852,0.00117531,0.00117531,0.00117531
144,336.417,0.56703,0.3478,0.87477,0.9435,0.90526,0.95747,0.75744,0.87376,0.51523,0.98254,0.00116591,0.00116591,0.00116591
145,338.938,0.58464,0.33771,0.85722,0.9435,0.90526,0.95747,0.75744,0.87376,0.51523,0.98254,0.00115651,0.00115651,0.00115651
146,341.18,0.60293,0.3592,0.88787,0.94496,0.90526,0.95714,0.76532,0.84277,0.5009,0.98044,0.0011471,0.0011471,0.0011471
147,343.345,0.57822,0.33883,0.8511,0.94496,0.90526,0.95714,0.76532,0.84277,0.5009,0.98044,0.00113769,0.00113769,0.00113769
148,345.902,0.56457,0.34166,0.87057,0.95546,0.90526,0.96024,0.7691,0.80665,0.50771,0.97134,0.00112827,0.00112827,0.00112827
149,348.058,0.56604,0.34237,0.86378,0.95523,0.8984,0.96145,0.78003,0.80912,0.48125,0.96721,0.00111885,0.00111885,0.00111885
150,350.201,0.56828,0.33437,0.87386,0.95523,0.8984,0.96145,0.78003,0.80912,0.48125,0.96721,0.00110942,0.00110942,0.00110942
151,352.754,0.62946,0.34456,0.88563,0.94591,0.90526,0.96346,0.77542,0.81678,0.47413,0.97857,0.0011,0.0011,0.0011
152,354.902,0.59375,0.34589,0.86971,0.94591,0.90526,0.96346,0.77542,0.81678,0.47413,0.97857,0.00109058,0.00109058,0.00109058
153,357.112,0.59119,0.33905,0.86639,0.95301,0.91579,0.96232,0.76535,0.83673,0.4756,0.99588,0.00108115,0.00108115,0.00108115
154,359.688,0.58138,0.3377,0.88205,0.95414,0.91579,0.96782,0.77324,0.82094,0.46443,0.98544,0.00107173,0.00107173,0.00107173
155,361.866,0.5681,0.33747,0.86167,0.95414,0.91579,0.96782,0.77324,0.82094,0.46443,0.98544,0.00106231,0.00106231,0.00106231
156,364.151,0.56847,0.33779,0.85469,0.94535,0.91042,0.97497,0.77856,0.81107,0.45983,0.97698,0.0010529,0.0010529,0.0010529
157,366.302,0.54731,0.33356,0.86862,0.94535,0.91042,0.97497,0.77856,0.81107,0.45983,0.97698,0.00104349,0.00104349,0.00104349
158,368.478,0.60856,0.34625,0.86401,0.91345,0.94737,0.97116,0.77128,0.8446,0.47057,0.98837,0.00103409,0.00103409,0.00103409
159,371.062,0.56592,0.32921,0.8607,0.94409,0.91579,0.95885,0.77169,0.81095,0.46524,0.98084,0.00102469,0.00102469,0.00102469
160,373.229,0.57202,0.33065,0.85882,0.94409,0.91579,0.95885,0.77169,0.81095,0.46524,0.98084,0.0010153,0.0010153,0.0010153
161,375.419,0.55319,0.32455,0.86252,0.87985,0.95789,0.9531,0.76099,0.78769,0.48678,0.9754,0.00100592,0.00100592,0.00100592
162,378.004,0.52383,0.3171,0.84947,0.87985,0.95789,0.9531,0.76099,0.78769,0.48678,0.9754,0.000996557,0.000996557,0.000996557
163,380.427,0.61261,0.33307,0.88381,0.89204,0.95789,0.94576,0.74965,0.81479,0.51839,0.9831,0.0009872,0.0009872,0.0009872
164,383.048,0.5867,0.34168,0.87296,0.88549,0.94737,0.94787,0.72811,0.83908,0.52314,0.98698,0.000977856,0.000977856,0.000977856
165,385.236,0.54728,0.32267,0.87049,0.88549,0.94737,0.94787,0.72811,0.83908,0.52314,0.98698,0.000968525,0.000968525,0.000968525
166,387.46,0.5459,0.31987,0.86295,0.87203,0.94737,0.93684,0.70022,0.95286,0.56949,1.03378,0.000959209,0.000959209,0.000959209
167,390.052,0.61944,0.33642,0.88852,0.87203,0.94737,0.93684,0.70022,0.95286,0.56949,1.03378,0.000949908,0.000949908,0.000949908
168,392.24,0.55014,0.31862,0.85208,0.85665,0.94737,0.93666,0.68952,0.97634,0.60556,1.04265,0.000940624,0.000940624,0.000940624
169,394.804,0.52246,0.31921,0.85033,0.83596,0.97895,0.95166,0.70899,0.91792,0.57418,1.01084,0.000931357,0.000931357,0.000931357
170,396.962,0.55228,0.33056,0.86701,0.83596,0.97895,0.95166,0.70899,0.91792,0.57418,1.01084,0.000922108,0.000922108,0.000922108
171,399.124,0.54462,0.3127,0.85043,0.89358,0.91579,0.94991,0.70054,0.95173,0.57275,1.01978,0.000912879,0.000912879,0.000912879
